,Recording,Recorder,Date,Time,Filename,Municipio,Vereda,Latitud,Longitud,Elevacion,Habitat,Rain_occurrence,Rain_Intesity,Intensity_Category
15085,G47_20180626_112800,G47,2018/06/26,11:28:00,G47_20180626_112800.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15086,G47_20180626_114400,G47,2018/06/26,11:44:00,G47_20180626_114400.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15087,G47_20180626_120000,G47,2018/06/26,12:00:00,G47_20180626_120000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15088,G47_20180626_121600,G47,2018/06/26,12:16:00,G47_20180626_121600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15089,G47_20180626_123200,G47,2018/06/26,12:32:00,G47_20180626_123200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15090,G47_20180626_124800,G47,2018/06/26,12:48:00,G47_20180626_124800.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15091,G47_20180626_130400,G47,2018/06/26,13:04:00,G47_20180626_130400.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15092,G47_20180626_132000,G47,2018/06/26,13:20:00,G47_20180626_132000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15093,G47_20180626_133600,G47,2018/06/26,13:36:00,G47_20180626_133600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15094,G47_20180626_135200,G47,2018/06/26,13:52:00,G47_20180626_135200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15095,G47_20180626_140800,G47,2018/06/26,14:08:00,G47_20180626_140800.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15096,G47_20180626_142400,G47,2018/06/26,14:24:00,G47_20180626_142400.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15097,G47_20180626_144000,G47,2018/06/26,14:40:00,G47_20180626_144000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15098,G47_20180626_145600,G47,2018/06/26,14:56:00,G47_20180626_145600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15099,G47_20180626_151200,G47,2018/06/26,15:12:00,G47_20180626_151200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15100,G47_20180626_152800,G47,2018/06/26,15:28:00,G47_20180626_152800.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15101,G47_20180626_154400,G47,2018/06/26,15:44:00,G47_20180626_154400.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15102,G47_20180626_160000,G47,2018/06/26,16:00:00,G47_20180626_160000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15103,G47_20180626_161600,G47,2018/06/26,16:16:00,G47_20180626_161600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15104,G47_20180626_163200,G47,2018/06/26,16:32:00,G47_20180626_163200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15105,G47_20180626_164800,G47,2018/06/26,16:48:00,G47_20180626_164800.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15106,G47_20180626_200000,G47,2018/06/26,20:00:00,G47_20180626_200000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15107,G47_20180626_201600,G47,2018/06/26,20:16:00,G47_20180626_201600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15108,G47_20180626_203200,G47,2018/06/26,20:32:00,G47_20180626_203200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15109,G47_20180626_204800,G47,2018/06/26,20:48:00,G47_20180626_204800.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15110,G47_20180626_210400,G47,2018/06/26,21:04:00,G47_20180626_210400.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15111,G47_20180626_212000,G47,2018/06/26,21:20:00,G47_20180626_212000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15112,G47_20180626_213600,G47,2018/06/26,21:36:00,G47_20180626_213600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15113,G47_20180626_215200,G47,2018/06/26,21:52:00,G47_20180626_215200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15114,G47_20180626_220800,G47,2018/06/26,22:08:00,G47_20180626_220800.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15115,G47_20180626_222400,G47,2018/06/26,22:24:00,G47_20180626_222400.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15116,G47_20180626_224000,G47,2018/06/26,22:40:00,G47_20180626_224000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15117,G47_20180626_225600,G47,2018/06/26,22:56:00,G47_20180626_225600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15118,G47_20180626_231200,G47,2018/06/26,23:12:00,G47_20180626_231200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15119,G47_20180626_232800,G47,2018/06/26,23:28:00,G47_20180626_232800.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15120,G47_20180626_234400,G47,2018/06/26,23:44:00,G47_20180626_234400.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
